# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
cheng2 sian1 vi3 si4 bau1 	成纖維細胞	c=2 d=0.640751 t=12045
cheng2 siu4 	程序	c=1 d=0.551563 t=12045
cheng2 wui2 	成爲	c=3 d=0.891366 t=12045
cheng2 zu3 	成組	c=4 d=0.898552 t=12045
cheo1 hui2 	撤回	c=1 d=0.113042 t=12045
chou3 	丑	c=1 d=0.0617291 t=12045
chu1 	出	c=5 d=0.736141 t=12045
chu1 cuo1 	出錯	c=1 d=0.733447 t=12045
chu1 cy4 	初次	c=1 d=0.0536647 t=12045
chu1 fa1 	出發	c=2 d=0.00080728 t=12045
chu1 han2 	出汗	c=1 d=0.763379 t=12045
chu1 ji1 	初級	c=0 d=0.0299692 t=12045
chu1 ji1 chan3 wu1 	初級產物	c=1 d=0.301194 t=12045
chu1 jing4 	出鏡	c=1 d=0.00565622 t=12045
chu1 lai2 	出來	c=5 d=0.597476 t=12045
chu1 lai2 chy1 	出來吃	c=1 d=0.00194986 t=12045
chu1 qi2 	初期	c=1 d=0.00157264 t=12045
chu1 qu4 	出去	c=3 d=0.733447 t=12045
chu1 sheng1 	出生	c=1 d=0.737123 t=12045
chu1 shy3 	初始	c=3 d=1.35253 t=12045
chu1 xan4 	出現	c=4 d=1.40453 t=12045
chu1 xan4 liau3 	出現了	c=1 d=0.140156 t=12045
chu1 zy4 	出自	c=1 d=0.918512 t=12045
chu2 cun2 	儲存	c=1 d=0.372381 t=12045
chu2 cun2 yu1 	儲存於	c=1 d=0.26054 t=12045
chu2 cun2 yu3 	儲存與	c=-1 d=0 t=12045
chu2 liau3 	除了	c=1 d=0.244143 t=12045
chu3 	處	c=3 d=0.32992 t=12045
chu3 li3 	處理	c=3 d=1.42418 t=12045
chuan1 guo1 	穿過	c=1 d=0.425283 t=12045
chuan1 kung3 	穿孔	c=0 d=0.0358796 t=12045
chuan1 kung3 su4 	穿孔素	c=1 d=0.360595 t=12045
chuan2 	傳	c=1 d=0.918512 t=12045
chuan2 dau4 	傳導	c=1 d=0.12307 t=12045
chuan2 di4 	傳遞	c=6 d=0.531021 t=12045
chuan2 guo1 qu4 	傳過去	c=1 d=0.000191619 t=12045
chuan4 liuan2 	串聯	c=1 d=0.16696 t=12045
chuang1 shang1 	創傷	c=1 d=0.442639 t=12045
chuang1 shy3 rhen2 	創始人	c=1 d=0.273898 t=12045
chun1 zai4 	春在	c=-1 d=0 t=12045
chun2 	純	c=1 d=0.579842 t=12045
chun2 hua4 	純化	c=2 d=1.02047 t=12045
chun2 wun2 ben3 	純文本	c=1 d=0.115903 t=12045
chun2 yin1 	脣音	c=1 d=0.158817 t=12045
chung1 guan1 	衝關	c=1 d=0.298197 t=12045
chung1 tu2 	衝突	c=3 d=1.24736 t=12045
chung2 die2 	重疊	c=0 d=0.0218712 t=12045
chung2 die2 sing4 	重疊性	c=1 d=0.219808 t=12045
chung2 fu1 	重複	c=3 d=1 t=12045
chung2 fu1 che1 liang2 	重複測量	c=1 d=0.305746 t=12045
chung2 fu1 siu4 lie1 	重複序列	c=2 d=0.697676 t=12045
chung2 niou3 	重鈕	c=1 d=0.97531 t=12045
chung2 pai2 	重排	c=5 d=1.46657 t=12045
chung2 sie3 	重寫	c=1 d=0.535261 t=12045
chung2 sin1 	重新	c=3 d=0.86842 t=12045
chung2 sin1 heo2 cheng2 	重新合成	c=1 d=0.071719 t=12045
chung2 sin1 lian2 zie1 	重新連接	c=1 d=0.123687 t=12045
chung2 zu3 	重組	c=0 d=0.0231078 t=12045
chung2 zu3 siou1 fu2 	重組修復	c=1 d=0.232236 t=12045
chy1 	吃	c=15 d=3.89965 t=12045
chy1 ba4 fan4 	吃罷飯	c=1 d=0.063609 t=12045
chy1 bau3 	吃飽	c=1 d=0.0742736 t=12045
chy1 bu1 chy1 	吃不吃	c=2 d=0.00845306 t=12045
chy1 cun4 	尺寸	c=1 d=0.00946646 t=12045
chy1 dian3 	吃點	c=1 d=0.786628 t=12045
chy1 fan4 	吃飯	c=15 d=3.17573 t=12045
chy1 fan4 liau3 	吃飯了	c=1 d=0.965605 t=12045
chy1 sha4 	吃啥	c=1 d=0.0295994 t=12045
chy3 lun2 	齒輪	c=1 d=0.0378169 t=12045
ci1 da4 	七大	c=1 d=0.511709 t=12045
ci1 yan2 shy1 	七言詩	c=1 d=0.264477 t=12045
ci1 zhung3 	七種	c=1 d=0.0871609 t=12045
ci2 chy3 hu1 	齊齒呼	c=1 d=0.208045 t=12045
cian1 dau4 	簽到	c=1 d=0.0349094 t=12045
cian1 jin1 	千金	c=1 d=0.0228227 t=12045
cian1 shu3 	簽署	c=0 d=0.0438235 t=12045
cian1 shu3 xe2 yi4 	簽署協議	c=1 d=0.440432 t=12045
cian1 yi2 	遷移	c=2 d=1.62149 t=12045
cian1 ziou4 	遷就	c=1 d=0.00142298 t=12045
cian2 	前	c=2 d=0.957645 t=12045
cian2 bian1 	前邊	c=1 d=0.318224 t=12045
cian2 dau4 	前導	c=0 d=0.00466538 t=12045
cian2 dau4 lian2 	前導鏈	c=2 d=0.153465 t=12045
cian2 hou4 	前後	c=4 d=1.00128 t=12045
cian2 liang3 tian1 	前兩天	c=2 d=0.390451 t=12045
cian2 mian4 	前面	c=2 d=0.120633 t=12045
cian2 shuo3 	前所	c=0 d=7.8703e-08 t=12045
cian2 sian4 	前線	c=1 d=0.19205 t=12045
cian2 ti3 	前體	c=1 d=0.304221 t=12045
cian2 tou2 	前頭	c=0 d=0.000543443 t=12045
cian2 yi1 	前一	c=0 d=0.026054 t=12045
cian2 yi1 zu3 	前一組	c=2 d=0.573769 t=12045
cian2 zhe2 	前者	c=1 d=0.951229 t=12045
cian2 zin4 	前進	c=0 d=0.0045275 t=12045
cian2 zin4 fang1 xang4 	前進方向	c=2 d=0.0933369 t=12045
cian4 cian4 	倩倩	c=0 d=0.0344728 t=12045
cie1 chu2 	切除	c=0 d=0.0229925 t=12045
cie1 chu2 siou1 fu2 	切除修復	c=2 d=0.469194 t=12045
cie3 	且	c=4 d=0.465334 t=12045
cin1 	親	c=3 d=0.91428 t=12045
cin1 dai4 	親代	c=4 d=0.196453 t=12045
cin1 huo2 li1 	親和力	c=1 d=0.901198 t=12045
cin2 cheng2 	秦城	c=1 d=0.519442 t=12045
cin3 shy2 	寢室	c=2 d=0.7757 t=12045
cing1 	清	c=1 d=0.0156076 t=12045
cing1 chu3 	清楚	c=1 d=0.458987 t=12045
cing1 je1 	清潔	c=1 d=0.0972957 t=12045
cing1 si1 	清晰	c=1 d=0.0220377 t=12045
cing2 kuang4 	情況	c=2 d=0.666977 t=12045
cing2 kuang4 hui4 bau4 	情況彙報	c=1 d=0.740818 t=12045
cing2 kuang4 xa4 	情況下	c=1 d=0.0628135 t=12045
cing2 xing2 	情形	c=1 d=0.075774 t=12045
cing3 	請	c=3 d=0.798947 t=12045
cing3 chy1 fan4 	請吃飯	c=1 d=0.00191125 t=12045
cing3 jau1 	請教	c=1 d=0.995012 t=12045
cing3 kan1 	請看	c=2 d=1.0362 t=12045
cing3 ni3 	請你	c=2 d=0.828439 t=12045
cing3 wun4 	請問	c=1 d=0.035437 t=12045
cing3 yung4 	請用	c=1 d=0.00878245 t=12045
ciou1 tian1 	秋天	c=1 d=0.0165727 t=12045
ciou2 zhang3 	酋長	c=1 d=0.451581 t=12045
ciu1 	促	c=0 d=0.00765355 t=12045
ciu1 	趨	c=0 d=0.0404542 t=12045
ciu1 fan3 ying4 	促反應	c=1 d=0.0769192 t=12045
ciu1 hua4 yin1 zy3 	趨化因子	c=1 d=0.40657 t=12045
ciu1 shy3 	促使	c=1 d=0.191092 t=12045
ciu1 zin4 	促進	c=10 d=2.02883 t=12045
ciu3 	取	c=1 d=0.99005 t=12045
ciu3 cy2 	取詞	c=2 d=0.0639767 t=12045
ciu3 dai4 	取代	c=1 d=0.733447 t=12045
ciu3 kuai4 di4 	取快遞	c=1 d=0.265803 t=12045
ciu3 ma3 	取碼	c=1 d=0.0018363 t=12045
ciu3 zy4 	取自	c=1 d=0.537944 t=12045
ciuan2 bu4 	全部	c=3 d=0.481909 t=12045
ciuan2 juo1 	全角	c=1 d=0.106992 t=12045
ciuan2 mian4 	全面	c=1 d=0.722527 t=12045
ciuan2 pian1 	全篇	c=1 d=0.025223 t=12045
ciuan2 pin1 	全拼	c=0 d=0.0995012 t=12045
ciuan2 qou2 	全球	c=2 d=1.92196 t=12045
ciuan2 rhy1 zhy4 	全日制	c=0 d=0.0272532 t=12045
ciuan2 si1 	全息	c=1 d=0.000706632 t=12045
ciung2 	從	c=14 d=1.78738 t=12045
ciung2 el2 	從而	c=3 d=0.798516 t=12045
ciung2 tou2 	從頭	c=2 d=0.602863 t=12045
ciung2 yu1 	從於	c=-1 d=0 t=12045
cu1 zin4 	粗進	c=-1 d=0 t=12045
cui1 hua4 	催化	c=6 d=0.895834 t=12045
cui1 hua4 heo2 cheng2 	催化合成	c=1 d=0.183599 t=12045
cui1 hua4 xa4 	催化下	c=1 d=0.810584 t=12045
cui1 hua4 zhuan3 lu1 	催化轉錄	c=1 d=0.362402 t=12045
cun2 zai4 	存在	c=9 d=1.26287 t=12045
cun2 zai4 yu1 	存在於	c=6 d=1.77137 t=12045
cuo1 	錯	c=2 d=0.0157963 t=12045
cuo1 bie2 zy4 	錯別字	c=1 d=0.0550232 t=12045
cuo1 kai1 	錯開	c=1 d=0.514274 t=12045
cuo1 kou3 hu1 	撮口呼	c=1 d=0.210136 t=12045
cuo1 yi4 tu2 bian4 	錯義突變	c=1 d=0.985112 t=12045
cy2 dian3 	詞典	c=4 d=1.54447 t=12045
cy2 ku4 	詞庫	c=2 d=1.25507 t=12045
cy2 pin2 	詞頻	c=1 d=0.0254765 t=12045
cy2 tiau2 	詞條	c=2 d=0.930715 t=12045
cy2 yu3 	詞語	c=1 d=0.718924 t=12045
cy2 zhy1 	辭職	c=1 d=0.0166557 t=12045
cy3 	此	c=0 d=0.0535261 t=12045
cy3 cian2 	此前	c=1 d=0.467666 t=12045
cy3 hou4 	此後	c=1 d=0.183599 t=12045
cy3 jan1 	此間	c=1 d=0.00217658 t=12045
cy4 el3 	刺耳	c=1 d=0.0845849 t=12045
cy4 ji1 	刺激	c=8 d=1.92593 t=12045
cy4 ji1 sing4 	刺激性	c=0 d=0.0246597 t=12045
cy4 ji1 sing4 ying1 da1 	刺激性應答	c=1 d=0.247833 t=12045
cy4 yau1 	次要	c=2 d=0.202743 t=12045
da1 	搭	c=1 d=0.597501 t=12045
da1 an4 	答案	c=1 d=0.280832 t=12045
da1 ba3 shou3 	搭把手	c=1 d=0.0992613 t=12045
da1 bang1 	搭幫	c=1 d=0.67032 t=12045
da1 cheo1 	搭車	c=1 d=0.0314298 t=12045
da1 dau4 	達到	c=1 d=0.410656 t=12045
da1 fi1 shuo3 wun4 	答非所問	c=1 d=0.017163 t=12045
da1 pei4 	搭配	c=1 d=0.0107807 t=12045
da1 ti2 	答題	c=1 d=0.0253494 t=12045
da3 	打	c=2 d=0.701173 t=12045
da3 bu1 kai1 	打不開	c=1 d=0.0356146 t=12045
da3 chu1 	打出	c=1 d=0.612626 t=12045
da3 chu1 lai2 	打出來	c=1 d=0.0237541 t=12045
da3 dian4 hua4 	打電話	c=2 d=0.326517 t=12045
da3 geo4 	打個	c=1 d=0.348192 t=12045
da3 ji1 	打給	c=0 d=0.0224249 t=12045
da3 ji1 ni3 	打給你	c=1 d=0.225373 t=12045
da3 kai1 	打開	c=5 d=0.681803 t=12045
da3 liau3 	打了	c=1 d=0.310367 t=12045
da3 suan4 	打算	c=4 d=1.15127 t=12045
da3 yin4 	打印	c=2 d=0.954276 t=12045
da3 zy4 	打字	c=6 d=0.704688 t=12045
da4 	大	c=9 d=1.20876 t=12045
da4 bau1 zhuang1 	大包裝	c=1 d=0.19205 t=12045
da4 bau3 	大寶	c=2 d=0.213184 t=12045
da4 da4 	大大	c=1 d=0.790571 t=12045
da4 dau4 	大道	c=0 d=0.0995012 t=12045
da4 dau4 zhy4 jan3 	大道至簡	c=1 d=1 t=12045
da4 gai4 	大概	c=2 d=0.462029 t=12045
da4 guang3 	大廣	c=1 d=0.0526021 t=12045
da4 ja1 	大家	c=1 d=0.143704 t=12045
da4 jang3 tang2 	大講堂	c=1 d=0.0728029 t=12045
da4 kuan3 	大款	c=1 d=0.173774 t=12045
da4 le1 	大的	c=1 d=0.527292 t=12045
da4 lian3 	大臉	c=1 d=0.980199 t=12045
da4 pan2 ji1 	大盤雞	c=1 d=0.951229 t=12045
da4 sheng1 	大聲	c=1 d=0.00275318 t=12045
da4 siau3 	大小	c=2 d=0.71177 t=12045
da4 ti2 	大題	c=1 d=0.694197 t=12045
da4 ti3 	大體	c=1 d=0.00600598 t=12045
da4 tou2 	大頭	c=0 d=0.0204948 t=12045
da4 tou2 ling3 	大頭領	c=1 d=0.878095 t=12045
da4 xuo2 	大學	c=2 d=0.0994689 t=12045
da4 ying2 	大營	c=1 d=0.927743 t=12045
da4 yuo1 	大約	c=1 d=0.0301974 t=12045
da4 zhung1 	大衆	c=2 d=0.145876 t=12045
dai4 	帶	c=2 d=0.0984552 t=12045
dai4 biau3 	代表	c=1 d=0.840552 t=12045
dai4 bu1 dai4 	帶不帶	c=1 d=0.970446 t=12045
dai4 dian3 	帶點	c=1 d=0.0319048 t=12045
dai4 hui2 lai2 	帶回來	c=1 d=0.99005 t=12045
dai4 kuan3 	貸款	c=1 d=0.532592 t=12045
dai4 leo1 	帶了	c=1 d=0.900325 t=12045
dai4 ling3 	帶領	c=1 d=0.937067 t=12045
dai4 ti4 	代替	c=2 d=0.944313 t=12045
dai4 yi1 fen4 	帶一份	c=1 d=0.358796 t=12045
dai4 you3 	帶有	c=1 d=0.0340475 t=12045
dai4 zhuo2 	帶着	c=1 d=0.609571 t=12045
dan1 	單	c=1 d=0.546074 t=12045
dan1 che1 	單側	c=2 d=0.715338 t=12045
dan1 du2 	單獨	c=1 d=0.0196437 t=12045
dan1 geo4 	單個	c=1 d=0.132655 t=12045
dan1 he2 	單核	c=2 d=0.369806 t=12045
dan1 he2 si4 bau1 	單核細胞	c=1 d=0.588605 t=12045
dan1 ke1 liung2 	單克隆	c=1 d=0.57695 t=12045
dan1 ke1 liung2 kang2 ti3 	單克隆抗體	c=1 d=0.904837 t=12045
dan1 lian2 	單鏈	c=3 d=0.96583 t=12045
dan1 shun4 fan1 zy3 	單順反子	c=1 d=0.204948 t=12045
dan1 te2 yi4 sing4 	單特異性	c=1 d=0.628135 t=12045
dan1 ti3 	單體	c=10 d=2.20458 t=12045
dan1 wu4 	耽誤	c=1 d=0.806541 t=12045
dan1 wui4 	單位	c=0 d=0.0398519 t=12045
dan1 yang2 sing4 	單陽性	c=1 d=1.08298 t=12045
dan1 yang2 sing4 jai1 duan4 	單陽性階段	c=1 d=0.970446 t=12045
dan1 yang2 sing4 si4 bau1 	單陽性細胞	c=1 d=1 t=12045
dan1 yang4 ben3 	單樣本	c=2 d=0.595298 t=12045
dan1 yi1 	單一	c=0 d=0.0927743 t=12045
dan1 yi1 jan3 ji1 	單一鹼基	c=1 d=0.932394 t=12045
dan4 	但	c=4 d=0.667464 t=12045
dan4 be2 	蛋白	c=3 d=1.10939 t=12045
dan4 be2 mei2 	蛋白酶	c=1 d=0.349938 t=12045
dan4 be2 yin1 zy3 	蛋白因子	c=1 d=0.88692 t=12045
dan4 be2 zhy1 	蛋白質	c=11 d=1.4392 t=12045
dan4 be2 zhy1 yin1 zy3 	蛋白質因子	c=1 d=0.449329 t=12045
dan4 bu1 	但不	c=1 d=0.118837 t=12045
dan4 qi2 	但其	c=1 d=0.697676 t=12045
dan4 shy4 	但是	c=17 d=1.48782 t=12045
dan4 zai4 	但在	c=2 d=0.644036 t=12045
dang1 	當	c=7 d=1.11074 t=12045
dang1 chu1 	當初	c=1 d=0.00786762 t=12045
dang1 cian2 	當前	c=1 d=1 t=12045
dang1 liang2 	當量	c=1 d=0.00164502 t=12045
dang1 nian2 	當年	c=4 d=0.771814 t=12045
dang1 rhan3 	當然	c=2 d=0.0804178 t=12045
dang1 shy2 	當時	c=1 d=0.00171216 t=12045
dang3 an4 	檔案	c=1 d=0.33454 t=12045
dau3 shu3 	倒數	c=1 d=0.170333 t=12045
dau4 	到	c=29 d=4.89055 t=12045
dau4 	道	c=0 d=0.0425283 t=12045
dau4 da1 	到達	c=1 d=0.778801 t=12045
dau4 leo1 	到了	c=1 d=0.355226 t=12045
dau4 li3 	道理	c=3 d=0.373439 t=12045
dau4 shuo4 	導數	c=2 d=0.61879 t=12045
dau4 shy2 hou4 	到時候	c=3 d=0.812351 t=12045
dau4 wui4 	倒位	c=2 d=0.265996 t=12045
dau4 zhy4 	導致	c=5 d=0.566097 t=12045
de1 	得	c=12 d=1.67413 t=12045
de1 dang1 	得當	c=1 d=0.219808 t=12045
de1 dau4 	得到	c=3 d=0.728529 t=12045
de1 gue1 	德國	c=2 d=0.0783352 t=12045
de1 ming2 	得名	c=1 d=0.268474 t=12045
de1 o2 	得哦	c=-1 d=0 t=12045
de1 yi3 	得以	c=1 d=0.918512 t=12045
de1 yi4 	得意	c=1 d=0.0536647 t=12045
de1 yung4 	得用	c=1 d=0.131994 t=12045
deng3 	等	c=16 d=2.08825 t=12045
deng3 kuan1 zy4 ti3 	等寬字體	c=1 d=0.802519 t=12045
deng3 ni3 	等你	c=1 d=0.358796 t=12045
deng3 wui4 ji1 yin1 	等位基因	c=3 d=1.27098 t=12045
deng3 yi1 xa4 	等一下	c=1 d=0.0250972 t=12045
deng3 yu1 	等於	c=2 d=0.00158221 t=12045
deng4 ja4 sian1 	鄧稼先	c=1 d=0.148823 t=12045
di1 	低	c=3 d=1.27063 t=12045
di1 	的	c=-29 d=10.1936 t=12045
di1 cin1 huo2 li1 	低親和力	c=1 d=0.351692 t=12045
di1 fen1 zy3 liang2 	低分子量	c=1 d=0.16696 t=12045
di3 qi4 	底氣	c=0 d=0.029523 t=12045
di3 shuo1 	底數	c=1 d=0.463013 t=12045
di3 wu1 	底物	c=2 d=0.873716 t=12045
di4 	地	c=8 d=1.92697 t=12045
di4 dian3 	地點	c=1 d=0.960789 t=12045
di4 dung4 yi2 	地動儀	c=1 d=0.231078 t=12045
di4 el4 	第二	c=1 d=0.171295 t=12045
di4 el4 chun1 	第二春	c=1 d=0.136695 t=12045
di4 el4 hui2 	第二回	c=1 d=0.0413782 t=12045
di4 el4 ti2 	第二題	c=1 d=0.0155297 t=12045
di4 el4 wun4 	第二問	c=3 d=0.268029 t=12045
di4 fang1 	地方	c=2 d=0.26054 t=12045
di4 ming2 	地名	c=1 d=0.0387742 t=12045
di4 pan2 	地盤	c=1 d=0.763379 t=12045
di4 qou2 	地球	c=1 d=1 t=12045
di4 san1 	第三	c=0 d=0.0045502 t=12045
di4 san1 wun4 	第三問	c=1 d=0.04573 t=12045
di4 shang4 	地上	c=0 d=0.00620385 t=12045
di4 sy4 ming2 	第四名	c=1 d=0.955997 t=12045
di4 tie1 	地鐵	c=1 d=0.0320647 t=12045
di4 yi1 	第一	c=1 d=0.124313 t=12045
di4 yi1 bu4 	第一步	c=1 d=0.358796 t=12045
di4 yi1 chang2 	第一場	c=1 d=0.084163 t=12045
di4 yi1 dau4 	第一道	c=1 d=0.427415 t=12045
di4 yi1 geo4 	第一個	c=1 d=0.519442 t=12045
di4 yi1 wun4 	第一問	c=4 d=0.406237 t=12045
di4 yi1 zhy4 yuan4 	第一志願	c=1 d=0.153355 t=12045
di4 zhy3 	地址	c=0 d=0.0895834 t=12045
dian1 duo1 	掂掇	c=-1 d=0 t=12045
dian1 huan4 	顛換	c=1 d=0.970446 t=12045
dian3 	點	c=12 d=0.819803 t=12045
dian3 ban4 	點半	c=2 d=0.0525311 t=12045
dian3 duo1 	點多	c=1 d=0.0769192 t=12045
dian3 huo3 	點火	c=1 d=0.650509 t=12045
dian3 ji1 	點擊	c=1 d=0.00794669 t=12045
dian3 kai1 	點開	c=1 d=0.103312 t=12045
dian3 tu2 bian4 	點突變	c=2 d=0.951229 t=12045
dian4 dau4 	墊到	c=1 d=0.00516939 t=12045
dian4 nau3 	電腦	c=6 d=0.257947 t=12045
dian4 sin4 	電信	c=1 d=0.107528 t=12045
dian4 zhuo2 	墊着	c=2 d=0.00978989 t=12045
dian4 zy3 hua4 	電子化	c=1 d=0.092089 t=12045
diau1 wang2 	凋亡	c=2 d=0.431711 t=12045
diau4 	掉	c=1 d=0.222017 t=12045
diau4 nau2 	掉撓	c=-1 d=0 t=12045
diau4 yung4 	調用	c=1 d=0.847894 t=12045
die1 	爹	c=1 d=0.308819 t=12045
die1 die1 	爹爹	c=1 d=0.852144 t=12045
die1 ma1 	爹媽	c=2 d=0.287422 t=12045
ding1 yue1 	訂閱	c=1 d=0.571209 t=12045
ding3 ziu1 san1 fen1 yi3 cheng2 meng4 	鼎足三分已成夢	c=1 d=0.985112 t=12045
ding4 	定	c=0 d=0.0628135 t=12045
ding4 ju1 	定居	c=1 d=0.212248 t=12045
ding4 xang4 	定向	c=1 d=0.790571 t=12045
ding4 zhy4 	定製	c=2 d=0.52231 t=12045
ding4 zi1 fen1 	定積分	c=1 d=0.631284 t=12045
diou1 liau3 	丟了	c=1 d=0.336216 t=12045
diou1 shy1 	丟失	c=1 d=0.121238 t=12045
dou1 li3 	兜裏	c=1 d=0.99005 t=12045
dou3 	都	c=41 d=2.83329 t=12045
dou3 bu1 	都不	c=2 d=0.37069 t=12045
dou3 bu1 da4 	都不大	c=1 d=0.00449405 t=12045
dou3 bu1 gou4 	都不夠	c=1 d=0.00568457 t=12045
dou3 bu1 neng2 	都不能	c=1 d=0.748264 t=12045
dou3 bu1 yi1 yang4 	都不一樣	c=1 d=0.0502874 t=12045
dou3 bu1 yung4 	都不用	c=2 d=0.168863 t=12045
dou3 bu1 zy3 	都不只	c=1 d=0.38868 t=12045
dou3 de1 	都得	c=3 d=0.606809 t=12045
dou3 gai1 	都該	c=1 d=0.369723 t=12045
dou3 gen1 	都跟	c=2 d=0.062662 t=12045
dou3 mu2 	都沒	c=3 d=0.831104 t=12045
dou3 mu2 you3 	都沒有	c=1 d=0.414783 t=12045
dou3 neng2 	都能	c=1 d=0.021068 t=12045
dou3 qu4 	都去	c=1 d=0.878095 t=12045
dou3 rhen4 shy1 	都認識	c=1 d=0.0502874 t=12045
dou3 shuo1 	都說	c=2 d=0.995685 t=12045
dou3 shy4 	都是	c=26 d=2.6759 t=12045
dou3 siu1 yau1 	都需要	c=1 d=0.156453 t=12045
dou3 yi1 yang4 	都一樣	c=2 d=0.927743 t=12045
dou3 you3 	都有	c=4 d=0.946996 t=12045
dou3 yu3 	都與	c=1 d=0.261846 t=12045
dou3 yung4 	都用	c=1 d=0.0203434 t=12045
dou3 zai4 	都在	c=2 d=0.0342342 t=12045
dou3 zhung1 	都中	c=8 d=0.654313 t=12045
dou3 zhung1 leo1 	都中了	c=1 d=0.0176857 t=12045
dou3 zhung1 liau3 	都中了	c=6 d=1.10291 t=12045
du2 	毒	c=0 d=0.0414783 t=12045
du2 li1 	獨立	c=2 d=0.496585 t=12045
du2 li1 yang4 ben3 	獨立樣本	c=0 d=0.0118245 t=12045
du2 li3 	毒理	c=1 d=0.085435 t=12045
du2 shu1 bei1 ji4 	讀書筆記	c=2 d=1.35785 t=12045
du2 su4 	毒素	c=1 d=0.960789 t=12045
du2 te2 	獨特	c=0 d=0.0369723 t=12045
du2 te2 xing2 	獨特型	c=1 d=0.371577 t=12045
du2 yin1 	讀音	c=2 d=0.0862936 t=12045
du2 zuo1 yung4 	毒作用	c=1 d=0.416862 t=12045
du4 	度	c=1 d=1.14768 t=12045
du4 lan2 te2 	杜蘭特	c=2 d=1.22879 t=12045
du4 teng2 	肚疼	c=1 d=0.995012 t=12045
duan1 	端	c=1 d=0.142274 t=12045
duan1 li1 	端粒	c=4 d=2.89327 t=12045
duan1 li1 mei2 	端粒酶	c=3 d=1.62608 t=12045
duan1 li1 qu1 	端粒區	c=2 d=1.40251 t=12045
duan3 	短	c=2 d=0.1668 t=12045
duan3 yu3 	短語	c=1 d=0.120633 t=12045
duan4 	段	c=1 d=0.396531 t=12045
duan4 shy2 jan1 	段時間	c=0 d=0.0932394 t=12045
dui1 	堆	c=1 d=0.582748 t=12045
dui4 	對	c=19 d=2.36379 t=12045
dui4 bu1 ci2 	對不齊	c=1 d=0.0308074 t=12045
dui4 ci2 	對齊	c=2 d=0.0485868 t=12045
dui4 deng3 	對等	c=1 d=0.0277367 t=12045
dui4 fang1 	對方	c=1 d=0.14808 t=12045
dui4 liau3 	對了	c=1 d=0.0124007 t=12045
dui4 ni3 shuo1 	對你說	c=1 d=0.463013 t=12045
dui4 shang1 liau3 	對傷了	c=-1 d=0 t=12045
dui4 shang4 	對上	c=0 d=0.0814647 t=12045
dui4 shang4 liau3 	對上了	c=1 d=0.818731 t=12045
dui4 siang4 	對象	c=3 d=0.465852 t=12045
dui4 tou2 	對頭	c=1 d=0.064894 t=12045
dui4 wu3 	隊伍	c=2 d=1.72839 t=12045
dui4 ying1 	對應	c=11 d=1.10661 t=12045
dui4 ying1 zhuo2 	對應着	c=1 d=0.0867261 t=12045
dui4 yu1 	對於	c=3 d=0.0913557 t=12045
dui4 zhang3 	隊長	c=1 d=0.00190171 t=12045
dui4 zhau4 zu3 	對照組	c=1 d=1.10022e-06 t=12045
dun4 ji1 	炖雞	c=1 d=0.951229 t=12045
dung1 feng1 	東風	c=1 d=0.985112 t=12045
dung1 feng1 puo4 	東風破	c=2 d=0.0985112 t=12045
dung1 feng1 puo4 zau3 mei2 	東風破早梅	c=1 d=0.99005 t=12045
dung1 nan2 	東南	c=1 d=0.810584 t=12045
dung1 si1 	東西	c=11 d=1.81835 t=12045
dung1 si1 ben1 zou3 hen4 wu2 ja1 	東西奔走恨無家	c=1 d=0.873716 t=12045
dung3 de1 	懂得	c=1 d=0.0139818 t=12045
dung4 tai4 	動態	c=0 d=0.086504 t=12045
dung4 tai4 tu2 bian4 	動態突變	c=3 d=0.869358 t=12045
dung4 tai4 tu2 siang4 	動態圖像	c=1 d=0.000383949 t=12045
dung4 tai4 tu2 siang4 	動態圖象	c=-1 d=0.000382034 t=12045
dung4 wu1 	動物	c=2 d=0.892611 t=12045
duo1 	多	c=11 d=1.90877 t=12045
duo1 dian3 	多點	c=1 d=0.327915 t=12045
duo1 fan3 ying4 sing4 	多反應性	c=1 d=0.625002 t=12045
duo1 geo4 	多個	c=3 d=1.46132 t=12045
duo1 he2 gan1 suan1 	多核苷酸	c=1 d=0.066205 t=12045
duo1 le1 	多的	c=0 d=0.0231078 t=12045
duo1 le1 shy4 	多的是	c=1 d=0.232236 t=12045
duo1 neng2 zau4 xe1 gan4 si4 bau1 	多能造血幹細胞	c=1 d=0.384812 t=12045
duo1 nian2 	多年	c=2 d=0.497367 t=12045
duo1 shau3 	多少	c=2 d=1.09959 t=12045
duo1 shuo1 	多數	c=1 d=0.307279 t=12045
duo1 shy1 heo2 	多適合	c=1 d=0.203926 t=12045
duo1 shy4 e1 	多是額	c=-1 d=0 t=12045
duo1 siuan3 	多選	c=1 d=0.474734 t=12045
duo1 tai4 	多肽	c=3 d=0.363013 t=12045
duo1 tai4 lian2 	多肽鏈	c=4 d=0.869358 t=12045
duo1 tai4 sing4 	多態性	c=3 d=0.998461 t=12045
duo1 tang2 	多糖	c=1 d=0.141564 t=12045
duo1 ting1 	多聽	c=1 d=0.187308 t=12045
duo1 wui2 	多爲	c=1 d=0.190139 t=12045
duo1 xau4 sing4 	多效性	c=1 d=0.218712 t=12045
